,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes
349,TALMADGE,61,-67.7541957,45.3386197,8,3,0,0.727272727,5,6,0,0.454545455,8,3,0,0.727272727,3,8,0,0.272727273,5,6,0,0.454545455
350,TEMPLE,517,-70.2264519,44.6850592,63,38,0,0.623762376,61,40,0,0.603960396,72,29,0,0.712871287,56,42,3,0.571428571,64,37,0,0.633663366
351,THOMASTON,2745,-69.1816955,44.0789574,201,112,1,0.642172524,211,102,1,0.674121406,260,53,1,0.830670927,186,125,3,0.59807074,210,103,1,0.670926518
352,THORNDIKE,893,-69.236966,44.6029084,37,47,1,0.44047619,36,48,1,0.428571429,46,39,0,0.541176471,32,51,2,0.385542169,46,38,1,0.547619048
353,TOPSFIELD,225,-67.7357917,45.4188893,12,22,0,0.352941176,7,27,0,0.205882353,17,17,0,0.5,4,30,0,0.117647059,13,21,0,0.382352941
354,TOPSHAM,8878,-69.9759459,43.9275435,894,463,19,0.65880619,919,441,16,0.675735294,1082,279,15,0.795003674,858,504,14,0.629955947,966,400,10,0.707174231
355,TREMONT,1599,-68.3519157,44.2537017,131,89,3,0.595454545,148,73,2,0.669683258,174,49,0,0.780269058,127,94,2,0.574660633,154,69,0,0.69058296
356,TRENTON,1558,-68.3700178,44.4389668,117,105,1,0.527027027,117,105,1,0.527027027,157,64,2,0.71040724,117,106,0,0.524663677,132,90,1,0.594594595
357,TROY,1047,-69.2416622,44.6648414,55,66,3,0.454545455,59,65,0,0.475806452,81,43,0,0.653225806,49,74,1,0.398373984,64,59,1,0.520325203
358,TURNER,5846,-70.2561671,44.2564588,383,304,4,0.557496361,383,304,4,0.557496361,460,228,3,0.668604651,329,356,6,0.480291971,417,270,4,0.6069869
359,UNION,2255,-69.293927,44.2296917,179,158,4,0.53115727,179,160,2,0.528023599,233,106,2,0.687315634,154,183,4,0.456973294,196,143,2,0.578171091
360,UNITY,2133,-69.3345032,44.6111643,108,101,2,0.516746411,93,117,1,0.442857143,130,79,2,0.622009569,91,119,1,0.433333333,111,100,0,0.526066351
361,UPTON,110,-71.0106316,44.6942207,10,10,0,0.5,10,10,0,0.5,12,8,0,0.6,8,12,0,0.4,8,12,0,0.4
362,VANCEBORO,133,-67.4300098,45.5626167,18,17,0,0.514285714,18,17,0,0.514285714,21,14,0,0.6,12,23,0,0.342857143,20,15,0,0.571428571
363,VASSALBORO,4368,-69.6777605,44.4588807,347,232,4,0.599309154,331,251,1,0.568728522,418,164,1,0.718213058,304,273,6,0.526863085,363,217,3,0.625862069
364,VEAZIE,1832,-68.7053114,44.8386814,195,110,0,0.639344262,194,109,2,0.640264026,232,73,0,0.760655738,162,141,2,0.534653465,215,89,1,0.707236842
365,VIENNA,573,-69.9847779,44.5333976,55,59,1,0.48245614,69,45,1,0.605263158,77,37,1,0.675438596,57,56,2,0.504424779,74,39,2,0.654867257
366,VINALHAVEN,1127,-68.836749,44.0487345,124,57,2,0.685082873,136,45,2,0.751381215,159,23,1,0.873626374,131,51,1,0.71978022,134,47,2,0.740331492
367,WADE,263,-68.2264347,46.7841686,18,15,0,0.545454545,20,13,0,0.606060606,19,14,0,0.575757576,14,19,0,0.424242424,21,12,0,0.636363636
368,WAITE,95,-67.6902794,45.3256262,7,9,0,0.4375,6,10,0,0.375,9,6,1,0.6,3,13,0,0.1875,8,8,0,0.5
369,WALDO,864,-69.0761483,44.5125736,48,37,1,0.564705882,39,47,0,0.453488372,56,30,0,0.651162791,34,52,0,0.395348837,47,38,1,0.552941176
370,WALDOBORO,5069,-69.3756017,44.0952725,479,338,12,0.58629131,463,360,6,0.562575942,586,236,7,0.712895377,435,383,11,0.531784841,492,333,4,0.596363636
371,WALES,1617,-70.0608896,44.1523636,94,103,0,0.47715736,77,120,0,0.390862944,111,85,1,0.566326531,72,124,1,0.367346939,90,107,0,0.456852792
372,WALLAGRASS,525,-68.5972677,47.1294837,35,26,0,0.573770492,46,14,1,0.766666667,46,15,0,0.754098361,26,35,0,0.426229508,47,14,0,0.770491803
373,WALTHAM,339,-68.3383535,44.7092404,23,38,0,0.37704918,20,41,0,0.327868852,35,26,0,0.573770492,19,42,0,0.31147541,26,34,1,0.433333333
374,WARREN,4844,-69.2531464,44.116967,192,194,5,0.497409326,180,206,5,0.466321244,245,144,2,0.629820051,170,217,4,0.439276486,214,175,2,0.550128535
375,WASHBURN,1541,-68.1567015,46.7882172,98,69,0,0.586826347,87,79,1,0.524096386,120,46,1,0.722891566,64,103,0,0.383233533,96,71,0,0.574850299
376,WASHINGTON,1514,-69.3676576,44.2735583,141,87,1,0.618421053,137,91,1,0.600877193,164,64,1,0.719298246,125,101,3,0.553097345,139,86,4,0.617777778
377,WATERBORO,7969,-70.7145912,43.5354332,318,228,7,0.582417582,288,258,7,0.527472527,354,193,6,0.647166362,240,303,10,0.44198895,325,222,6,0.594149909
378,WATERFORD,1590,-70.7091738,44.1932639,123,82,3,0.6,129,78,1,0.623188406,152,55,1,0.734299517,110,97,1,0.531400966,146,61,1,0.70531401
379,WATERVILLE,16558,-69.6317121,44.5520105,1062,459,29,0.698224852,1100,429,21,0.71942446,1228,303,19,0.802090137,958,561,31,0.630678078,1168,361,21,0.763897973
380,WAYNE,1156,-70.0661649,44.3486793,190,85,3,0.690909091,196,81,1,0.707581227,218,58,2,0.789855072,188,87,3,0.683636364,211,64,3,0.767272727
381,WEBSTER,81,-68.1972396,45.4758958,3,4,0,0.428571429,3,4,0,0.428571429,4,3,0,0.571428571,3,4,0,0.428571429,3,4,0,0.428571429
382,WELD,417,-70.4214542,44.6986707,57,38,0,0.6,52,43,0,0.547368421,66,28,1,0.70212766,50,45,0,0.526315789,58,37,0,0.610526316
383,WELLINGTON,245,-69.5970206,45.0400981,23,11,0,0.676470588,20,14,0,0.588235294,26,7,1,0.787878788,15,18,1,0.454545455,20,14,0,0.588235294
384,WELLS,10675,-70.5805209,43.3222329,1577,964,62,0.620621802,1705,863,35,0.66394081,1879,674,50,0.735996866,1435,1107,61,0.564516129,1837,737,29,0.713675214
385,WESLEY,93,-67.6608307,44.952297,11,12,0,0.47826087,6,17,0,0.260869565,9,14,0,0.391304348,6,17,0,0.260869565,6,17,0,0.260869565
386,WESTBROOK,19074,-70.3711617,43.6770252,2211,1308,80,0.628303495,2260,1266,73,0.640952921,2489,1036,74,0.706099291,1938,1566,95,0.553082192,2406,1139,54,0.678702398
387,WESTFIELD,509,-67.9226825,46.5698715,24,24,0,0.5,26,22,0,0.541666667,32,15,1,0.680851064,21,26,1,0.446808511,32,16,0,0.666666667
388,WESTMANLAND,57,-68.236303,46.9755827,8,11,0,0.421052632,9,10,0,0.473684211,13,6,0,0.684210526,6,13,0,0.315789474,11,8,0,0.578947368
389,WESTON,210,-67.8780687,45.7331159,14,28,0,0.333333333,14,28,0,0.333333333,19,22,1,0.463414634,9,33,0,0.214285714,14,28,0,0.333333333
390,WHITEFIELD,2280,-69.6253222,44.1700735,181,134,1,0.574603175,168,146,2,0.535031847,214,99,3,0.68370607,149,164,3,0.476038339,184,130,2,0.585987261
