,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes
285,PERRY,927,-67.0748807,44.974757,241,225,5,0.517167382,228,238,5,0.489270386,149,318,4,0.319057816,257,209,5,0.551502146,211,251,9,0.456709957,274,191,6,0.589247312
286,PERU,1511,-70.4062771,44.5065458,410,555,13,0.424870466,499,468,11,0.516028956,220,747,11,0.227507756,481,483,14,0.498962656,443,504,31,0.467793031,556,405,17,0.578563996
287,PHILLIPS,1022,-70.3395105,44.8231127,341,295,13,0.536163522,307,323,19,0.487301587,178,461,10,0.27856025,349,288,12,0.547880691,289,334,26,0.46388443,327,299,23,0.522364217
288,PHIPPSBURG,2268,-69.8147684,43.820638,754,677,9,0.526904263,690,736,14,0.483870968,639,793,8,0.44622905,771,653,16,0.541432584,724,672,44,0.518624642,916,491,33,0.651030561
289,PITTSFIELD,3994,-69.3833847,44.7825145,886,1071,23,0.452733776,901,1053,26,0.461105425,662,1291,27,0.338965694,935,1021,24,0.47801636,825,1105,50,0.42746114,1076,855,49,0.557224236
290,PITTSTON,2735,-69.7555995,44.2217367,778,917,28,0.45899705,781,913,29,0.461038961,521,1179,23,0.306470588,797,899,27,0.469929245,761,916,46,0.453786524,870,810,43,0.517857143
291,PLYMOUTH,1350,-69.2103252,44.7672891,321,414,13,0.436734694,325,402,21,0.447042641,148,586,14,0.201634877,302,424,22,0.415977961,251,464,33,0.351048951,340,379,29,0.472878999
292,POLAND,5647,-70.3936675,44.0606281,1616,1653,15,0.494340777,1542,1723,19,0.472281776,1227,2045,12,0.375,1600,1669,15,0.489446314,1531,1698,55,0.474140601,1706,1527,51,0.527683266
293,PORTER,1520,-70.9332266,43.7961667,447,365,10,0.550492611,391,415,16,0.485111663,218,597,7,0.267484663,440,369,13,0.543881335,340,440,42,0.435897436,420,371,31,0.530973451
294,PORTLAND,66215,-70.2568189,43.6590993,24653,13073,833,0.653475057,24377,13138,1062,0.649793416,30300,7488,789,0.801841855,27059,10523,995,0.719998936,26440,10523,1614,0.715309904,28210,8537,1830,0.767681716
295,POWNAL,1549,-70.1803764,43.9133191,556,521,11,0.516248839,476,606,6,0.439926063,543,541,4,0.500922509,586,492,10,0.543599258,577,488,23,0.541784038,622,447,19,0.581852198
296,PRINCETON,792,-67.5721648,45.2234034,228,281,1,0.447937132,208,298,4,0.411067194,87,419,4,0.171936759,239,268,3,0.471400394,176,319,15,0.355555556,231,269,10,0.462
297,PROSPECT,746,-68.8647555,44.5531298,186,228,4,0.449275362,190,225,3,0.457831325,105,313,0,0.251196172,205,210,3,0.493975904,183,225,10,0.448529412,211,203,4,0.509661836
298,RANDOLPH,1709,-69.7666546,44.2306461,471,512,35,0.479145473,506,475,37,0.515800204,422,563,33,0.428426396,526,458,34,0.534552846,472,492,54,0.489626556,571,395,52,0.591097308
299,RANGELEY,1155,-70.6427102,44.9656821,462,434,9,0.515625,344,545,16,0.386951631,329,567,9,0.3671875,440,454,11,0.492170022,355,518,32,0.406643757,553,323,29,0.631278539
300,RAYMOND,4523,-70.468437,43.9015631,1529,1363,6,0.528699862,1274,1603,21,0.442822384,1274,1607,17,0.442207567,1481,1397,20,0.514593468,1426,1429,43,0.499474606,1684,1171,43,0.589842382
301,READFIELD,2571,-69.9667188,44.3878453,771,885,10,0.46557971,820,831,15,0.496668686,778,880,8,0.469240048,871,784,11,0.526283988,862,768,36,0.528834356,988,650,28,0.603174603
302,REED,144,-68.1436099,45.724382,27,51,1,0.346153846,30,47,2,0.38961039,18,61,0,0.227848101,40,38,1,0.512820513,31,45,3,0.407894737,34,43,2,0.441558442
303,RICHMOND,3470,-69.8025788,44.0880682,1017,903,17,0.5296875,978,936,25,0.510971787,690,1234,15,0.358627859,1003,916,20,0.522668056,958,937,44,0.505540897,1113,791,35,0.584558824
304,RIPLEY,471,-69.3717134,44.9911704,99,166,4,0.373584906,94,175,0,0.349442379,58,209,2,0.217228464,108,159,2,0.404494382,87,175,7,0.332061069,110,153,6,0.418250951
305,ROBBINSTON,559,-67.1094283,45.0781324,176,148,6,0.543209877,161,159,10,0.503125,106,216,8,0.329192547,184,137,9,0.573208723,156,156,18,0.5,198,116,16,0.630573248
306,ROCKLAND,7165,-69.1089293,44.1036914,2012,1553,85,0.564375877,2223,1326,101,0.626373626,2093,1478,79,0.586110333,2371,1189,90,0.666011236,2063,1405,182,0.594867359,2464,1017,169,0.707842574
307,ROCKPORT,3363,-69.0760975,44.1844817,1163,1153,46,0.502158895,1208,1104,50,0.522491349,1472,853,37,0.63311828,1442,879,41,0.621283929,1368,910,84,0.600526778,1623,670,69,0.707806367
308,ROME,1007,-69.903486,44.5722051,301,301,20,0.5,279,322,21,0.46422629,232,373,17,0.383471074,331,272,19,0.548922056,294,299,29,0.495784148,366,231,25,0.613065327
309,ROXBURY,361,-70.593401,44.6697827,133,112,4,0.542857143,124,123,2,0.502024291,51,198,0,0.204819277,134,115,0,0.53815261,113,126,10,0.472803347,135,107,7,0.55785124
310,RUMFORD,5744,-70.5508829,44.5536606,1406,1483,35,0.486673589,1598,1294,32,0.552558783,1034,1861,29,0.35716753,1678,1204,42,0.582234559,1415,1417,92,0.499646893,1688,1164,72,0.591865358
311,SABATTUS,5036,-70.1031247,44.1152935,1380,1413,56,0.494092374,1335,1450,65,0.47935368,960,1842,48,0.34261242,1350,1436,64,0.484565686,1278,1468,104,0.465404224,1310,1444,96,0.47567175
312,SACO,19964,-70.4428286,43.5009176,5996,4936,79,0.548481522,5875,5006,130,0.539931992,6815,4097,99,0.624541789,6514,4371,126,0.598438218,6085,4613,313,0.568797906,6934,3803,274,0.645804228
313,SANFORD,21223,-70.7742804,43.4391627,5513,4686,161,0.540543191,5538,4591,233,0.546746964,5174,5009,179,0.508101738,6046,4110,206,0.595313115,5396,4486,480,0.546043311,5942,4024,396,0.596227172
314,SANGERVILLE,1269,-69.357317,45.1645956,296,427,8,0.409405256,302,418,11,0.419444444,178,547,6,0.245517241,309,410,12,0.429763561,279,433,19,0.391853933,335,381,15,0.467877095
315,SCARBOROUGH,20991,-70.3344921,43.5901974,6071,6683,245,0.476007527,5627,7074,293,0.443035981,8260,4505,229,0.647081864,7108,5607,279,0.559024774,6706,5754,534,0.538202247,8337,4203,454,0.664832536
316,SEARSMONT,1417,-69.1950411,44.3617419,451,390,12,0.53626635,449,385,19,0.538369305,299,545,9,0.354265403,437,397,19,0.523980815,406,414,33,0.495121951,457,364,32,0.556638246
317,SEARSPORT,2634,-68.9038627,44.463934,711,832,27,0.460790668,836,705,29,0.542504867,639,911,20,0.412258065,859,683,28,0.557068742,742,763,65,0.493023256,919,604,47,0.603414314
318,SEBAGO,1829,-70.677518,43.8872801,600,526,6,0.53285968,499,626,7,0.443555556,391,739,2,0.346017699,571,555,6,0.507104796,520,577,35,0.474020055,599,510,23,0.54012624
319,SEBEC,592,-69.1167087,45.2714408,151,238,6,0.388174807,150,238,7,0.386597938,75,317,3,0.191326531,162,228,5,0.415384615,129,257,9,0.334196891,188,199,8,0.485788114
320,SEBOEIS,34,-68.7111424,45.3631091,14,21,0,0.4,17,18,0,0.485714286,11,24,0,0.314285714,17,18,0,0.485714286,16,18,1,0.470588235,18,17,0,0.514285714
321,SEDGWICK,1176,-68.6155184,44.3040651,390,363,10,0.517928287,384,365,14,0.512683578,340,413,10,0.451527224,463,285,15,0.618983957,390,349,24,0.527740189,487,255,21,0.656334232
322,SHAPLEIGH,2754,-70.8481164,43.5406359,825,736,7,0.528507367,739,815,14,0.475546976,575,982,11,0.369299936,829,727,12,0.53277635,743,781,44,0.487532808,868,668,32,0.565104167
323,SHERMAN,778,-68.4178063,45.8711632,201,436,10,0.315541601,243,396,8,0.38028169,116,524,7,0.18125,267,372,8,0.417840376,220,414,13,0.347003155,253,382,12,0.398425197
324,SHIRLEY,225,-69.633903,45.3476081,70,78,2,0.472972973,58,88,4,0.397260274,33,114,3,0.224489796,64,82,4,0.438356164,56,87,7,0.391608392,67,77,6,0.465277778
