,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,X,X.1
111,DIXMONT,1126,-69.1628221,44.6803471,103,125,1,0.451754386,134,94,1,0.587719298,137,91,1,0.600877193,NA,
112,DOVER-FOXCROFT,4037,-69.2270821,45.1833421,302,318,10,0.487096774,396,226,8,0.636655949,430,184,16,0.700325733,NA,
113,DRESDEN,1678,-69.7242215,44.1070945,153,162,1,0.485714286,207,109,0,0.655063291,217,99,0,0.686708861,NA,
114,DREW,37,-68.0942848,45.6013167,3,4,0,0.428571429,6,0,1,1,4,2,1,0.666666667,NA,
115,DURHAM,3993,-70.1229905,43.972476,253,315,2,0.445422535,322,248,0,0.564912281,337,233,0,0.59122807,NA,
116,EASTBROOK,417,-68.2644618,44.6786857,20,36,0,0.357142857,36,20,0,0.642857143,30,26,0,0.535714286,NA,
117,EASTON,1181,-67.9098848,46.6410887,53,83,0,0.389705882,94,42,0,0.691176471,87,49,0,0.639705882,NA,
118,EASTPORT,1265,-66.9899785,44.9061906,270,205,13,0.568421053,366,112,10,0.765690377,380,97,11,0.796645702,NA,
119,EDDINGTON,2208,-68.6935362,44.8265844,155,242,3,0.390428212,216,181,3,0.544080605,221,178,1,0.553884712,NA,
120,EDGECOMB,1262,-69.630602,43.9584129,133,100,0,0.570815451,162,69,2,0.701298701,175,57,1,0.754310345,NA,
121,EDINBURG,125,-68.6903078,45.1764474,8,26,0,0.235294118,21,13,0,0.617647059,22,12,0,0.647058824,NA,
122,ELIOT,6908,-70.8000544,43.1531427,794,548,13,0.591654247,876,473,6,0.649369904,982,362,11,0.730654762,NA,
123,ELLSWORTH,8180,-68.4194641,44.5434095,788,748,16,0.513020833,867,669,16,0.564453125,1009,532,11,0.65476963,NA,
124,EMBDEN,950,-69.8667244,44.9181137,56,69,1,0.448,80,44,2,0.64516129,80,44,2,0.64516129,NA,
125,ENFIELD,1536,-68.5658766,45.248726,76,114,0,0.4,101,87,2,0.537234043,117,73,0,0.615789474,NA,
126,ETNA,1199,-69.111155,44.8209007,55,81,3,0.404411765,76,62,1,0.550724638,81,57,1,0.586956522,NA,
127,EUSTIS,618,-70.438713,45.1402374,45,50,1,0.473684211,67,29,0,0.697916667,56,40,0,0.583333333,NA,
128,EXETER,1096,-69.1225343,44.9621841,64,86,0,0.426666667,109,41,0,0.726666667,107,42,1,0.718120805,NA,
129,FAIRFIELD,6552,-69.5986469,44.5884052,349,388,7,0.473541384,466,269,9,0.634013605,498,239,7,0.675712347,NA,
130,FALMOUTH,12312,-70.2601759,43.7435343,1248,738,11,0.628398792,1461,526,10,0.735279316,1635,354,8,0.822021116,NA,
131,FARMINGDALE,2925,-69.7714428,44.2443842,182,169,4,0.518518519,263,91,1,0.742937853,273,80,2,0.773371105,NA,
132,FARMINGTON,7762,-70.1512169,44.6704998,424,335,9,0.558629776,532,233,3,0.695424837,536,224,8,0.705263158,NA,
133,FAYETTE,1163,-70.0336654,44.4089558,110,107,1,0.506912442,141,77,0,0.646788991,142,76,0,0.651376147,NA,
134,FRANKFORT,1189,-68.8744635,44.6086733,95,162,8,0.369649805,142,120,3,0.541984733,151,111,3,0.576335878,NA,
135,FRANKLIN,1559,-68.2316054,44.5874877,113,141,0,0.44488189,156,97,1,0.616600791,161,93,0,0.633858268,NA,
136,FREEDOM,724,-69.2967536,44.5298272,70,54,0,0.564516129,91,33,0,0.733870968,85,39,0,0.685483871,NA,
137,FREEPORT,8558,-70.1031201,43.8570065,1174,685,19,0.631522324,1344,516,18,0.722580645,1431,434,13,0.767292225,NA,
138,FRENCHBORO,59,-68.3625166,44.1181384,4,2,0,0.666666667,6,0,0,1,5,1,0,0.833333333,NA,
