city,lon,lat,q1pyes,q2pyes,q3pyes,q4pyes,q5pyes
JAY,-70.2161924,44.5039265,0.374704492,0.427662957,0.530555556,0.67878309,0.580261593
JEFFERSON,-69.4525442,44.2067419,0.400699301,0.43202847,0.576295245,0.66407355,0.494293866
JONESBORO,-67.5724938,44.6625773,0.436170213,0.453874539,0.549450549,0.694244604,0.52014652
JONESPORT,-67.6030098,44.5310454,0.37987013,0.413379074,0.550505051,0.710217755,0.528716216
KENDUSKEAG,-68.9317049,44.9195128,0.410459588,0.403536977,0.551612903,0.685393258,0.522653722
KENNEBUNK,-70.54399,43.3845306,0.627427547,0.584799875,0.685190887,0.765957447,0.720179929
KENNEBUNKPORT,-70.4767274,43.3617327,0.628023353,0.642948993,0.737043331,0.794567063,0.741755889
KINGFIELD,-70.1539542,44.9592231,0.520766773,0.476744186,0.619047619,0.745484401,0.628333333
KINGMAN,-68.1994627,45.5495057,0.089552239,0.140625,0.338461538,0.53125,0.28125
KITTERY,-70.736137,43.0881256,0.67696097,0.566426571,0.732480315,0.806845004,0.755154639
KNOX,-69.2133749,44.517294,0.376590331,0.313672922,0.414893617,0.541333333,0.382978723
LAGRANGE,-68.8447783,45.1668297,0.359756098,0.411214953,0.50625,0.698757764,0.477987421
LAKEVILLE,-68.0647964,45.3168704,0.4,0.4125,0.6125,0.734177215,0.481012658
LAMOINE,-68.3191852,44.4911002,0.52975048,0.446850394,0.551420176,0.735150925,0.602564103
LEBANON,-70.919379,43.4006697,0.437349811,0.4229013,0.64416315,0.71048951,0.598804501
LEE,-68.2864076,45.3600615,0.298245614,0.33256351,0.426940639,0.62639821,0.433179724
LEEDS,-70.1194984,44.3034024,0.409597258,0.362753751,0.556628622,0.642545772,0.483613818
LEVANT,-68.9347611,44.8692358,0.375171468,0.356442577,0.468265162,0.631136045,0.471045198
LEWISTON,-70.2147764,44.100351,0.471218038,0.462562287,0.568630012,0.70044369,0.645243878
LIBERTY,-69.3026507,44.3893688,0.491902834,0.389937107,0.521649485,0.627329193,0.560416667
LIMERICK,-70.7936719,43.6884112,0.492329149,0.469269704,0.575976845,0.694024478,0.587427746
LIMESTONE,-67.825816,46.9086023,0.428899083,0.550058893,0.559440559,0.801633606,0.727379553
LIMINGTON,-70.7108924,43.7317442,0.458836443,0.405574516,0.573612684,0.652542373,0.539249147
LINCOLN,-68.5050006,45.3622301,0.349278351,0.360371779,0.439797212,0.647132692,0.482352941
LINCOLNVILLE,-69.0087018,44.2811973,0.608022519,0.541218638,0.655294954,0.724285714,0.634269258
LINNEUS,-67.9600193,46.038665,0.230248307,0.351415094,0.539007092,0.68957346,0.578571429
LISBON,-70.1043704,44.0316013,0.427727369,0.405559203,0.543062201,0.68673913,0.585995624
LITCHFIELD,-69.93356,44.1740739,0.430467091,0.350565428,0.502949062,0.63927428,0.496514745
LITTLETON,-67.8411308,46.2308838,0.259656652,0.42920354,0.471365639,0.698689956,0.544052863
LIVERMORE,-70.2081176,44.4078297,0.350949628,0.390572391,0.516835017,0.649078727,0.486486486
LOVELL,-70.8930466,44.1255995,0.534848485,0.538461538,0.67192429,0.788976378,0.625199362
